what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415232584477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1415232585524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1415232586919
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415232587984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415232608399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415232621395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415232624483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415232634405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415232674941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415232684203
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1415232684301
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1415232698637
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1415232699340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415232701062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415232715288
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415232716562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415232720843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415232726053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415232728682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415232732960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415232747296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415232837517
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415232875302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415232918984
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415232928526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415232929728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415232936917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415232945846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415232993239
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415232994307
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1415232996794
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1415233023105
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1415233027647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415233031297
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415233032335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415233033941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415233049571
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415233050437
